Trial,Seed,Policy,Route_Index,Route_Name,Available,Hop_Count,Contact_Probability,Optical_Packet_Success_Lower_Bound,Physical_End_To_End_Success_Lower_Bound,PAT_s,Propagation_s,Policy_Score,Selected
5,100004,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.858842197,1,0.858842197,60,384.6805297,0.858842197,1
5,100004,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.737609919,1,0.737609919,120,530.7722376,0.267293723,0
5,100004,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.737609919,1,0.737609919,120,865.8019077,0.163862064,0
5,100004,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.737609919,1,0.737609919,120,390.3733799,0.363426644,0
6,100005,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.821249333,1,0.821249333,60,991.0231672,1,1
6,100005,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.674450466,1,0.674450466,120,1330.849654,0.744654487,0
6,100005,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.674450466,1,0.674450466,120,1134.939149,0.87319498,0
6,100005,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.674450466,1,0.674450466,120,997.258932,0.993747096,0
6,100005,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.821249333,1,0.821249333,60,991.0231672,0.821249333,1
6,100005,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.674450466,1,0.674450466,120,1330.849654,0.674450466,0
6,100005,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.674450466,1,0.674450466,120,1134.939149,0.674450466,0
6,100005,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.674450466,1,0.674450466,120,997.258932,0.674450466,0
6,100005,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.821249333,1,0.821249333,60,991.0231672,0.821249333,1
6,100005,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.674450466,1,0.674450466,120,1330.849654,0.674450466,0
6,100005,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.674450466,1,0.674450466,120,1134.939149,0.674450466,0
6,100005,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.674450466,1,0.674450466,120,997.258932,0.674450466,0
6,100005,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.821249333,1,0.821249333,60,991.0231672,0.821249333,1
6,100005,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.674450466,1,0.674450466,120,1330.849654,0.251116283,0
6,100005,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.674450466,1,0.674450466,120,1134.939149,0.294463381,0
6,100005,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.674450466,1,0.674450466,120,997.258932,0.335116596,0
7,100006,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.958883829,0.999947104,0.958833108,60,1299.889871,1,1
7,100006,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.919458198,0.999757199,0.919234953,120,1582.990011,0.821161133,0
7,100006,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.919458198,0.999990528,0.919449489,120,1494.667033,0.869685249,0
7,100006,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.919458198,0.999880614,0.919348427,120,1306.528666,0.994918753,0
7,100006,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.958883829,0.999947104,0.958833108,60,1299.889871,0.958883829,1
7,100006,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.919458198,0.999757199,0.919234953,120,1582.990011,0.919458198,0
7,100006,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.919458198,0.999990528,0.919449489,120,1494.667033,0.919458198,0
7,100006,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.919458198,0.999880614,0.919348427,120,1306.528666,0.919458198,0
7,100006,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.958883829,0.999947104,0.958833108,60,1299.889871,0.958833108,1
7,100006,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.919458198,0.999757199,0.919234953,120,1582.990011,0.919234953,0
7,100006,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.919458198,0.999990528,0.919449489,120,1494.667033,0.919449489,0
7,100006,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.919458198,0.999880614,0.919348427,120,1306.528666,0.919348427,0
7,100006,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.958883829,0.999947104,0.958833108,60,1299.889871,0.958833108,1
7,100006,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.919458198,0.999757199,0.919234953,120,1582.990011,0.377420008,0
7,100006,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.919458198,0.999990528,0.919449489,120,1494.667033,0.399815829,0
7,100006,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.919458198,0.999880614,0.919348427,120,1306.528666,0.457338495,0
8,100007,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.838058627,1,0.838058627,60,543.0651332,1,1
8,100007,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.702342262,1,0.702342262,120,903.4032613,0.60113258,0
8,100007,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.702342262,1,0.702342262,120,662.2712804,0.820004052,0
8,100007,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.702342262,1,0.702342262,120,549.0283416,0.989138615,0
8,100007,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.838058627,1,0.838058627,60,543.0651332,0.838058627,1
8,100007,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.702342262,1,0.702342262,120,903.4032613,0.702342262,0
8,100007,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.702342262,1,0.702342262,120,662.2712804,0.702342262,0
8,100007,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.702342262,1,0.702342262,120,549.0283416,0.702342262,0
8,100007,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.838058627,1,0.838058627,60,543.0651332,0.838058627,1
8,100007,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.702342262,1,0.702342262,120,903.4032613,0.702342262,0
8,100007,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.702342262,1,0.702342262,120,662.2712804,0.702342262,0
8,100007,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.702342262,1,0.702342262,120,549.0283416,0.702342262,0
8,100007,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.838058627,1,0.838058627,60,543.0651332,0.838058627,1
8,100007,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.702342262,1,0.702342262,120,903.4032613,0.211100408,0
8,100007,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.702342262,1,0.702342262,120,662.2712804,0.28796175,0
8,100007,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.702342262,1,0.702342262,120,549.0283416,0.347356926,0
9,100008,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.860275382,1,0.860275382,60,727.2265642,1,1
9,100008,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.740073733,1,0.740073733,120,826.4133436,0.879979214,0
9,100008,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.740073733,1,0.740073733,120,1137.099706,0.639545117,0
