Trial,Seed,Dominating_Route,Dominated_Route
50,100049,Direct_Earth_to_Mars,Earth_Relay1_Mars
50,100049,Direct_Earth_to_Mars,Earth_Relay2_Mars
50,100049,Earth_Relay0_Mars,Earth_Relay1_Mars
51,100050,Direct_Earth_to_Mars,Earth_Relay0_Mars
51,100050,Direct_Earth_to_Mars,Earth_Relay1_Mars
51,100050,Direct_Earth_to_Mars,Earth_Relay2_Mars
51,100050,Earth_Relay0_Mars,Earth_Relay1_Mars
51,100050,Earth_Relay2_Mars,Earth_Relay0_Mars
51,100050,Earth_Relay2_Mars,Earth_Relay1_Mars
52,100051,Direct_Earth_to_Mars,Earth_Relay0_Mars
52,100051,Direct_Earth_to_Mars,Earth_Relay2_Mars
52,100051,Earth_Relay2_Mars,Earth_Relay0_Mars
53,100052,Direct_Earth_to_Mars,Earth_Relay0_Mars
53,100052,Direct_Earth_to_Mars,Earth_Relay1_Mars
53,100052,Direct_Earth_to_Mars,Earth_Relay2_Mars
53,100052,Earth_Relay0_Mars,Earth_Relay1_Mars
53,100052,Earth_Relay2_Mars,Earth_Relay0_Mars
53,100052,Earth_Relay2_Mars,Earth_Relay1_Mars
54,100053,Direct_Earth_to_Mars,Earth_Relay0_Mars
54,100053,Direct_Earth_to_Mars,Earth_Relay1_Mars
54,100053,Earth_Relay1_Mars,Earth_Relay0_Mars
55,100054,Direct_Earth_to_Mars,Earth_Relay0_Mars
55,100054,Direct_Earth_to_Mars,Earth_Relay1_Mars
55,100054,Direct_Earth_to_Mars,Earth_Relay2_Mars
55,100054,Earth_Relay1_Mars,Earth_Relay0_Mars
55,100054,Earth_Relay2_Mars,Earth_Relay0_Mars
55,100054,Earth_Relay2_Mars,Earth_Relay1_Mars
56,100055,Direct_Earth_to_Mars,Earth_Relay0_Mars
56,100055,Direct_Earth_to_Mars,Earth_Relay1_Mars
56,100055,Direct_Earth_to_Mars,Earth_Relay2_Mars
56,100055,Earth_Relay0_Mars,Earth_Relay1_Mars
56,100055,Earth_Relay2_Mars,Earth_Relay0_Mars
56,100055,Earth_Relay2_Mars,Earth_Relay1_Mars
57,100056,Direct_Earth_to_Mars,Earth_Relay0_Mars
57,100056,Direct_Earth_to_Mars,Earth_Relay1_Mars
57,100056,Direct_Earth_to_Mars,Earth_Relay2_Mars
57,100056,Earth_Relay1_Mars,Earth_Relay0_Mars
57,100056,Earth_Relay2_Mars,Earth_Relay0_Mars
57,100056,Earth_Relay2_Mars,Earth_Relay1_Mars
58,100057,Direct_Earth_to_Mars,Earth_Relay0_Mars
58,100057,Direct_Earth_to_Mars,Earth_Relay1_Mars
58,100057,Direct_Earth_to_Mars,Earth_Relay2_Mars
