Trial,Seed,Policy,Selected_Route_Index,Selected_Route_Name,Selected_Score,Selected_Physical_Success_Lower_Bound
42,100041,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.85746425646144364
42,100041,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.85746479771118467,0.85746425646144364
42,100041,B3_Physical_Success,0,Direct_Earth_to_Mars,0.85746425646144364,0.85746425646144364
42,100041,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.85746425646144364,0.85746425646144364
43,100042,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.935174575698836
43,100042,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.93529137651131,0.935174575698836
43,100042,B3_Physical_Success,0,Direct_Earth_to_Mars,0.935174575698836,0.935174575698836
43,100042,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.935174575698836,0.935174575698836
44,100043,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.95125121444850902
44,100043,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.95125378169318053,0.95125121444850902
44,100043,B3_Physical_Success,0,Direct_Earth_to_Mars,0.95125121444850902,0.95125121444850902
44,100043,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.95125121444850902,0.95125121444850902
45,100044,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.87713571556599201
45,100044,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.87713571556599201,0.87713571556599201
45,100044,B3_Physical_Success,0,Direct_Earth_to_Mars,0.87713571556599201,0.87713571556599201
45,100044,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.87713571556599201,0.87713571556599201
46,100045,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.96867438980918996
46,100045,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.96868573902546085,0.96867438980918996
46,100045,B3_Physical_Success,0,Direct_Earth_to_Mars,0.96867438980918996,0.96867438980918996
46,100045,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.96867438980918996,0.96867438980918996
47,100046,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.89093632203543471
47,100046,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.89093632203547468,0.89093632203543471
47,100046,B3_Physical_Success,0,Direct_Earth_to_Mars,0.89093632203543471,0.89093632203543471
47,100046,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.89093632203543471,0.89093632203543471
48,100047,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.94423140248934267
48,100047,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.94440754764342016,0.94423140248934267
48,100047,B3_Physical_Success,0,Direct_Earth_to_Mars,0.94423140248934267,0.94423140248934267
48,100047,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.94423140248934267,0.94423140248934267
49,100048,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.86857509200266492
49,100048,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.8685751136440768,0.86857509200266492
