Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
30,100029,B3,200,172,0,28,28,0,0.85999999999999999,176128,999.42141572548724
30,100029,B4,200,172,0,28,28,0,0.85999999999999999,176128,999.42141572548724
31,100030,B1,200,198,0,2,2,0,0.98999999999999999,202752,1285.0609092185055
31,100030,B2,200,198,0,2,2,0,0.98999999999999999,202752,1285.0609092185055
31,100030,B3,200,198,0,2,2,0,0.98999999999999999,202752,1285.0609092185055
31,100030,B4,200,198,0,2,2,0,0.98999999999999999,202752,1285.0609092185055
32,100031,B1,200,199,0,1,1,0,0.995,203776,294.79601975412504
32,100031,B2,200,199,0,1,1,0,0.995,203776,294.79601975412504
32,100031,B3,200,199,0,1,1,0,0.995,203776,294.79601975412504
32,100031,B4,200,199,0,1,1,0,0.995,203776,294.79601975412504
33,100032,B1,200,199,0,1,1,0,0.995,203776,1316.6181290904128
33,100032,B2,200,199,0,1,1,0,0.995,203776,1316.6181290904128
33,100032,B3,200,199,0,1,1,0,0.995,203776,1316.6181290904128
33,100032,B4,200,199,0,1,1,0,0.995,203776,1316.6181290904128
34,100033,B1,200,172,0,28,28,0,0.85999999999999999,176128,286.90145520157239
34,100033,B2,200,172,0,28,28,0,0.85999999999999999,176128,286.90145520157239
34,100033,B3,200,172,0,28,28,0,0.85999999999999999,176128,286.90145520157239
34,100033,B4,200,172,0,28,28,0,0.85999999999999999,176128,286.90145520157239
35,100034,B1,200,179,0,21,21,0,0.89500000000000002,183296,623.61679339510647
35,100034,B2,200,179,0,21,21,0,0.89500000000000002,183296,623.61679339510647
35,100034,B3,200,179,0,21,21,0,0.89500000000000002,183296,623.61679339510647
35,100034,B4,200,179,0,21,21,0,0.89500000000000002,183296,623.61679339510647
36,100035,B1,200,194,0,6,6,0,0.96999999999999997,198656,1361.6590511252234
36,100035,B2,200,194,0,6,6,0,0.96999999999999997,198656,1361.6590511252234
36,100035,B3,200,194,0,6,6,0,0.96999999999999997,198656,1361.6590511252234
36,100035,B4,200,194,0,6,6,0,0.96999999999999997,198656,1361.6590511252234
37,100036,B1,200,170,0,30,30,0,0.84999999999999998,174080,869.09044914640185
37,100036,B2,200,170,0,30,30,0,0.84999999999999998,174080,869.09044914640185
37,100036,B3,200,170,0,30,30,0,0.84999999999999998,174080,869.09044914640185
37,100036,B4,200,170,0,30,30,0,0.84999999999999998,174080,869.09044914640185
38,100037,B1,200,150,0,50,50,0,0.75,153600,1349.3887833563419
38,100037,B2,200,150,0,50,50,0,0.75,153600,1349.3887833563419
38,100037,B3,200,150,0,50,50,0,0.75,153600,1349.3887833563419
