Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
101,1000100,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,7,193,0,0,0
101,1000100,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,200,185,0,15,15,0,0.92500000000000004,189440,1361.480812056421
101,1000100,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,185,0,15,15,0,0.92500000000000004,189440,1361.480812056421
102,1000101,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,132,0,68,24,44,0.66000000000000003,135168,736.03618416838674
102,1000101,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,132,0,68,24,44,0.66000000000000003,135168,736.03618416838674
102,1000101,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,200,154,0,46,46,0,0.77000000000000002,157696,1150.7323200125852
