Scenario,Reference_Policy,Comparator_Policy,Comparison_Role,Metric,Higher_Is_Better,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Percent_Change_From_Reference,Cohens_Dz,Paired_T,Paired_T_P_Value,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value,Significant_At_0_05,Direction
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Packets,1,1000,84.921999999999997,84.921999999999997,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Bits,1,1000,86960.127999999997,86960.127999999997,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Mean_Delivered_Latency_s,0,490,566.30619820357811,566.30619820357811,0,0,0,0,0,0,0,0,1,0,0,490,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Optical_Failures,0,1000,94.768000000000001,94.768000000000001,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Reliability,1,1000,0.4246099999999996,0.67094499999999935,0.246335,0,0.37424678145366591,0.22311125091660411,0.26955874908339589,58.014413226254739,0.65821541348511992,20.814598976424872,3.255549082144268e-80,333,3,664,9.033110791155448e-95,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Packets,1,1000,84.921999999999997,134.18899999999999,49.267000000000003,0,74.849356290733382,44.622250183320816,53.91174981667919,58.014413226254689,0.65821541348511814,20.814598976424815,3.2555490821468714e-80,333,3,664,9.033110791155448e-95,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Bits,1,1000,86960.127999999997,137409.53599999999,50449.408000000003,0,76645.740841710984,45693.184187720515,55205.631812279491,58.014413226254689,0.65821541348511814,20.814598976424815,3.2555490821468714e-80,333,3,664,9.033110791155448e-95,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Mean_Delivered_Latency_s,0,490,566.30619820357811,588.48023524655571,22.174037042977716,0,75.06162232523512,15.519862887385115,28.828211198570315,3.915556127289022,0.29541110831444128,6.539203638718373,1.5599472407245679e-10,0,47,443,1.4210854715202004e-14,1,Comparator_Worse
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,29.748999999999999,9.4390000000000001,3,11.151620404122363,8.7469902166889337,10.131009783311066,46.474643032988681,0.84642407631726169,26.766279475667318,2.0147542941085609e-119,0,542,458,1.3892242184281734e-163,1,Comparator_Worse
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Optical_Failures,0,1000,94.768000000000001,0.27400000000000002,-94.494,-158,89.208711223501709,-100.02981440957355,-88.958185590426453,-99.710872868478802,-1.0592463303640451,-33.49631007125555,1.6426653589386821e-165,557,0,443,4.2395758619023847e-168,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Reliability,1,1000,0.4246099999999996,0.83125500000000052,0.40664500000000003,0.46499999999999997,0.41311231009951377,0.38100946454997525,0.43228053545002482,95.769058665599118,0.98434491071458063,31.127719210531566,3.0203900924106539e-149,501,0,499,3.0549363634996047e-151,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Packets,1,1000,84.921999999999997,166.251,81.328999999999994,93,82.622462019902287,76.201892909995067,86.45610709000492,95.769058665599019,0.98434491071458607,31.127719210531733,3.0203900924025691e-149,501,0,499,3.0549363634996047e-151,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Bits,1,1000,86960.127999999997,170241.024,83280.895999999993,95232,84605.401108379941,78030.738339834948,88531.053660165038,95.769058665599019,0.98434491071458607,31.127719210531733,3.0203900924025691e-149,501,0,499,3.0549363634996047e-151,1,Comparator_Better
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Mean_Delivered_Latency_s,0,490,566.30619820357811,567.64179526818441,1.3355970646063802,0,11.658112313064651,0.3021114130377951,2.3690827161749652,0.23584362467568368,0.1145637500086223,2.5359767112216689,0.011523590940448705,0,8,482,0.0078125,1,Comparator_Worse
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Contact_Failures,0,1000,20.309999999999999,29.207999999999998,8.8979999999999997,1,11.050326045221766,8.2122760016074654,9.583723998392534,43.810930576070902,0.80522510952041582,25.463453752430475,1.2512451245807068e-110,0,504,496,3.8186704543745059e-152,1,Comparator_Worse
