Trial,Seed,Scenario,B1_Route,B4_Route,B1_Reliability,B4_Reliability,Reliability_Difference,B1_Delivered_Bits,B4_Delivered_Bits,Delivered_Bits_Difference,B1_Mean_Latency_s,B4_Mean_Latency_s,Latency_Difference_s,B1_Contact_Failures,B4_Contact_Failures,Contact_Failure_Difference,B1_Optical_Failures,B4_Optical_Failures,Optical_Failure_Difference
14,1000013,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96999999999999997,0.96999999999999997,0,198656,198656,0,325.03096089651223,325.03096089651223,0,6,6,0,0,0,0
14,1000013,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96999999999999997,0.96999999999999997,0,198656,198656,0,325.03096089651223,325.03096089651223,0,6,6,0,0,0,0
14,1000013,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.96999999999999997,0.96999999999999997,0,198656,198656,0,325.03096089651223,325.03096089651223,0,6,6,0,0,0,0
15,1000014,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.89000000000000001,0.89000000000000001,0,182272,182272,0,1209.1518032453332,1209.1518032453332,0,22,22,0,0,0,0
15,1000014,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.89000000000000001,0.89000000000000001,0,182272,182272,0,1209.1518032453332,1209.1518032453332,0,22,22,0,0,0,0
15,1000014,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.80500000000000005,0.80500000000000005,0,164864,164864,0,1275.5712644463731,1275.5712644463731,22,39,17,178,0,-178
15,1000014,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.80500000000000005,0.80500000000000005,0,164864,164864,0,1275.5712644463731,1275.5712644463731,22,39,17,178,0,-178
16,1000015,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88,0.88,0,180224,180224,0,866.79895388660009,866.79895388660009,0,24,24,0,0,0,0
16,1000015,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.88,0.88,0,180224,180224,0,866.79895388660009,866.79895388660009,0,24,24,0,0,0,0
16,1000015,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85999999999999999,0.85999999999999999,0,176128,176128,0,866.79895388659986,866.79895388659986,0,24,24,0,4,4,0
16,1000015,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.80500000000000005,0.80500000000000005,0,164864,164864,0,932.86277904425845,932.86277904425845,24,39,15,176,0,-176
17,1000016,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.95999999999999996,0.95999999999999996,0,196608,196608,0,473.11565832830223,473.11565832830223,0,8,8,0,0,0,0
17,1000016,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.95999999999999996,0.95999999999999996,0,196608,196608,0,473.11565832830223,473.11565832830223,0,8,8,0,0,0,0
