Trial,Seed,Route_Name,Route_Available,Hop_Number,Hop_Distance_m,Optical_Degradation_Factor,Background_Photons_Per_Slot,Diffraction_Efficiency,Received_Power_W,Photon_Flux_Per_s,Signal_Photons_Per_Slot,PPM_Order,Packet_Bits,Conservative_Uncoded_SER,Uncoded_Packet_Success_Probability
1,100000,Earth_Relay0_Mars,1,1,181628612606.97336,0.91535498130280457,1,1.2452823078229069e-14,9.1190029087516029e-14,711534.54896910768,0.71153454896910762,16,8192,0.87681201707064971,0
1,100000,Earth_Relay0_Mars,1,2,75153218320.811935,0.91535498130280457,1,7.2734621373861394e-14,5.3262398390189983e-13,4155940.8407695112,4.1559408407695111,16,8192,0.25880294767143786,4.2090473509376516e-267
1,100000,Earth_Relay1_Mars,0,1,267517111940.19858,0.91535498130280457,1,5.7402818188494069e-15,4.2035164455725831e-14,327990.5937209726,0.32799059372097256,16,8192,0.93133690137220837,0
1,100000,Earth_Relay1_Mars,0,2,78966578570.133102,0.91535498130280457,1,6.5879410754700803e-14,4.8242437439687151e-13,3764244.9847093495,3.7642449847093493,16,8192,0.31137426684373337,0
1,100000,Earth_Relay2_Mars,1,1,227003438045.67664,0.91535498130280457,1,7.9720769028382424e-15,5.8378242434736159e-14,455511.82312426536,0.45551182312426536,16,8192,0.91479408245166294,0
1,100000,Earth_Relay2_Mars,1,2,1000000000.0000001,0.91535498130280457,1,4.1080559421807932e-10,3.0082635761166206e-09,23472779735.140671,23472.77973514067,16,8192,0,1
1,100000,Direct_Earth_to_Mars,1,1,226224890899.86777,0.91535498130280457,4,8.0270427174858836e-15,5.8780748292648849e-14,458652.48254649749,0.45865248254649749,16,8192,0.93132880024244036,0
1,100000,Earth_Relay0_Mars,1,1,181628612606.97336,0.91535498130280457,4,1.2452823078229069e-14,9.1190029087516029e-14,711534.54896910768,0.71153454896910762,16,8192,0.91451579263856986,0
1,100000,Earth_Relay0_Mars,1,2,75153218320.811935,0.91535498130280457,4,7.2734621373861394e-14,5.3262398390189983e-13,4155940.8407695112,4.1559408407695111,16,8192,0.5315114532812959,0
1,100000,Earth_Relay1_Mars,0,1,267517111940.19858,0.91535498130280457,4,5.7402818188494069e-15,4.2035164455725831e-14,327990.5937209726,0.32799059372097256,16,8192,0.93916058532032953,0
1,100000,Earth_Relay1_Mars,0,2,78966578570.133102,0.91535498130280457,4,6.5879410754700803e-14,4.8242437439687151e-13,3764244.9847093495,3.7642449847093493,16,8192,0.58131308254088876,0
1,100000,Earth_Relay2_Mars,1,1,227003438045.67664,0.91535498130280457,4,7.9720769028382424e-15,5.8378242434736159e-14,455511.82312426536,0.45551182312426536,16,8192,0.9315238774517941,0
1,100000,Earth_Relay2_Mars,1,2,1000000000.0000001,0.91535498130280457,4,4.1080559421807932e-10,3.0082635761166206e-09,23472779735.140671,23472.77973514067,16,8192,0,1
2,100001,Direct_Earth_to_Mars,1,1,392093050456.03699,0.93381665290172622,0,2.6721329317368545e-15,1.9962257843383893e-14,155760.84658735682,0.15576084658735681,16,8192,0.85576382473964241,0
2,100001,Earth_Relay0_Mars,1,1,394860380634.21185,0.93381665290172622,0,2.6348095529745976e-15,1.9683432302337857e-14,153585.23585913939,0.15358523585913939,16,8192,0.85762766045288141,0
2,100001,Earth_Relay0_Mars,1,2,76990169187.327438,0.93381665290172622,0,6.9305196793177796e-14,5.1774677518480585e-13,4039857.4476577756,4.0398574476577753,16,8192,0.017599981155342448,1.6090355437998337e-16
2,100001,Earth_Relay1_Mars,0,1,378404363900.47095,0.93381665290172622,0,2.8689572481215483e-15,2.1432640438072091e-14,167233.89936289017,0.16723389936289015,16,8192,0.84600170893274407,0
2,100001,Earth_Relay1_Mars,0,2,75084140246.636673,0.93381665290172622,0,7.2868515929627724e-14,5.4436666917856864e-13,4247566.2778444579,4.2475662778444576,16,8192,0.014298991368939862,1.5494285345610396e-13
2,100001,Earth_Relay2_Mars,1,1,393091396524.23114,0.93381665290172622,0,2.6585771745079934e-15,1.9860989108639862e-14,154970.67024656836,0.15497067024656835,16,8192,0.8564402962979667,0
2,100001,Earth_Relay2_Mars,1,2,999999999.99999845,0.93381665290172622,0,4.1080559421808067e-10,3.0689368398882623e-09,23946199074.998615,23946.199074998614,16,8192,0,1
2,100001,Direct_Earth_to_Mars,1,1,392093050456.03699,0.93381665290172622,0.01,2.6721329317368545e-15,1.9962257843383893e-14,155760.84658735682,0.15576084658735681,16,8192,0.86681976987903797,0
2,100001,Earth_Relay0_Mars,1,1,394860380634.21185,0.93381665290172622,0.01,2.6348095529745976e-15,1.9683432302337857e-14,153585.23585913939,0.15358523585913939,16,8192,0.86845014467541792,0
2,100001,Earth_Relay0_Mars,1,2,76990169187.327438,0.93381665290172622,0.01,6.9305196793177796e-14,5.1774677518480585e-13,4039857.4476577756,4.0398574476577753,16,8192,0.027361347493265797,2.1121361436571201e-25
2,100001,Earth_Relay1_Mars,0,1,378404363900.47095,0.93381665290172622,0.01,2.8689572481215483e-15,2.1432640438072091e-14,167233.89936289017,0.16723389936289015,16,8192,0.85827130796461415,0
2,100001,Earth_Relay1_Mars,0,2,75084140246.636673,0.93381665290172622,0.01,7.2868515929627724e-14,5.4436666917856864e-13,4247566.2778444579,4.2475662778444576,16,8192,0.022648294827313231,4.209126872580816e-21
2,100001,Earth_Relay2_Mars,1,1,393091396524.23114,0.93381665290172622,0.01,2.6585771745079934e-15,1.9860989108639862e-14,154970.67024656836,0.15497067024656835,16,8192,0.8674115721175667,0
2,100001,Earth_Relay2_Mars,1,2,999999999.99999845,0.93381665290172622,0.01,4.1080559421808067e-10,3.0689368398882623e-09,23946199074.998615,23946.199074998614,16,8192,0,1
2,100001,Direct_Earth_to_Mars,1,1,392093050456.03699,0.93381665290172622,0.10000000000000001,2.6721329317368545e-15,1.9962257843383893e-14,155760.84658735682,0.15576084658735681,16,8192,0.9299058124585603,0
2,100001,Earth_Relay0_Mars,1,1,394860380634.21185,0.93381665290172622,0.10000000000000001,2.6348095529745976e-15,1.9683432302337857e-14,153585.23585913939,0.15358523585913939,16,8192,0.93059020112641466,0
2,100001,Earth_Relay0_Mars,1,2,76990169187.327438,0.93381665290172622,0.10000000000000001,6.9305196793177796e-14,5.1774677518480585e-13,4039857.4476577756,4.0398574476577753,16,8192,0.076860313341144737,7.3736151872402992e-72
2,100001,Earth_Relay1_Mars,0,1,378404363900.47095,0.93381665290172622,0.10000000000000001,2.8689572481215483e-15,2.1432640438072091e-14,167233.89936289017,0.16723389936289015,16,8192,0.92627752976604405,0
2,100001,Earth_Relay1_Mars,0,2,75084140246.636673,0.93381665290172622,0.10000000000000001,7.2868515929627724e-14,5.4436666917856864e-13,4247566.2778444579,4.2475662778444576,16,8192,0.065365233404753087,7.4933588064095049e-61
2,100001,Earth_Relay2_Mars,1,1,393091396524.23114,0.93381665290172622,0.10000000000000001,2.6585771745079934e-15,1.9860989108639862e-14,154970.67024656836,0.15497067024656835,16,8192,0.93015451639853064,0
2,100001,Earth_Relay2_Mars,1,2,999999999.99999845,0.93381665290172622,0.10000000000000001,4.1080559421808067e-10,3.0689368398882623e-09,23946199074.998615,23946.199074998614,16,8192,0,1
2,100001,Direct_Earth_to_Mars,1,1,392093050456.03699,0.93381665290172622,1,2.6721329317368545e-15,1.9962257843383893e-14,155760.84658735682,0.15576084658735681,16,8192,0.95090410859639152,0
