Configuration_ID,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,Packet_Bits,PPM_Order,Background_Photons_Per_Slot,Photon_Gain_Factor,Route_Name,Total_Worlds,Available_Worlds,Certified_Worlds,All_Available_Worlds_Certified,Minimum_Scaled_Bottleneck_Photons_Per_Slot,Worst_Log10_Route_Packet_Failure_Upper_Bound,Mean_Route_Packet_Success_Lower_Bound_Available
26,10,0.5,0.5,250000,2048,16,4,156.25,Earth_Relay0_Mars,100,94,58,0,21.723917145696891,0,0.89760414252489096
26,10,0.5,0.5,250000,2048,16,4,156.25,Earth_Relay1_Mars,100,91,58,0,23.721991112302089,-0.44376133222217179,0.97087592747914719
26,10,0.5,0.5,250000,2048,16,4,156.25,Earth_Relay2_Mars,100,92,58,0,22.057416568855331,0,0.90842701618422572
27,10,0.5,0.5,250000,4096,16,4,156.25,Direct_Earth_to_Mars,100,100,61,0,22.169982119738428,-0.029453071575092454,0.91540296680101296
27,10,0.5,0.5,250000,4096,16,4,156.25,Earth_Relay0_Mars,100,94,58,0,21.723917145696891,0,0.85401471836651999
27,10,0.5,0.5,250000,4096,16,4,156.25,Earth_Relay1_Mars,100,91,56,0,23.721991112302089,-0.14273133655819062,0.94175185495829405
27,10,0.5,0.5,250000,4096,16,4,156.25,Earth_Relay2_Mars,100,92,58,0,22.057416568855331,0,0.85577153441020504
28,10,0.5,0.5,250000,8192,16,4,156.25,Direct_Earth_to_Mars,100,100,61,0,22.169982119738428,0,0.86016191947885701
28,10,0.5,0.5,250000,8192,16,4,156.25,Earth_Relay0_Mars,100,94,57,0,21.723917145696891,0,0.80136652962612342
28,10,0.5,0.5,250000,8192,16,4,156.25,Earth_Relay1_Mars,100,91,53,0,23.721991112302089,0,0.8893351458504376
28,10,0.5,0.5,250000,8192,16,4,156.25,Earth_Relay2_Mars,100,92,56,0,22.057416568855331,0,0.79996496764379177
29,10,0.5,0.5,500000,1024,16,4,78.125,Direct_Earth_to_Mars,100,100,43,0,11.084991059869214,0,0.50024361511482696
29,10,0.5,0.5,500000,1024,16,4,78.125,Earth_Relay0_Mars,100,94,39,0,10.861958572848446,0,0.52974945896345638
29,10,0.5,0.5,500000,1024,16,4,78.125,Earth_Relay1_Mars,100,91,32,0,11.860995556151044,0,0.4867909451602585
29,10,0.5,0.5,500000,1024,16,4,78.125,Earth_Relay2_Mars,100,92,40,0,11.028708284427665,0,0.49093507089100824
30,10,0.5,0.5,500000,2048,16,4,78.125,Direct_Earth_to_Mars,100,100,42,0,11.084991059869214,0,0.47591362594655473
30,10,0.5,0.5,500000,2048,16,4,78.125,Earth_Relay0_Mars,100,94,39,0,10.861958572848446,0,0.51361192188581806
30,10,0.5,0.5,500000,2048,16,4,78.125,Earth_Relay1_Mars,100,91,31,0,11.860995556151044,0,0.46808738482601131
30,10,0.5,0.5,500000,2048,16,4,78.125,Earth_Relay2_Mars,100,92,40,0,11.028708284427665,0,0.48666156312296549
31,10,0.5,0.5,500000,4096,16,4,78.125,Direct_Earth_to_Mars,100,100,41,0,11.084991059869214,0,0.46792950310383929
