Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,366.29421414935331
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,4,1000003,B1_Shortest_Delay,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,4,1000003,B2_Contact_Aware,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,4,1000003,B3_Physical_Success,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT60__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,60,4,1000003,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,186,0,14,14,0,0.93000000000000005,190464,396.29421414935337
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,120,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT120__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,120,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,512.35711634783888
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,30,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT30__Direct_Pointing_25pct_Power,Direct_Pointing_25pct_Power,PAT_s_Per_Hop,30,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,422.35711634784002
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,5,1000004,B1_Shortest_Delay,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,5,1000004,B2_Contact_Aware,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,5,1000004,B3_Physical_Success,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
PAT60__Direct_Combined_25pctPower_BG16,Direct_Combined_25pctPower_BG16,PAT_s_Per_Hop,60,5,1000004,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,174,0,26,26,0,0.87,178176,452.35711634783956
