Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
11,100010,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
11,100010,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,173,0,27,27,0,0.86499999999999999,177152,624.98567499124738
12,100011,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,169,0,31,31,0,0.84499999999999997,173056,832.76701199067236
12,100011,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,0,0,200,31,169,0,0,0
12,100011,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,0,0,200,31,169,0,0,0
12,100011,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,200,145,0,55,55,0,0.72499999999999998,148480,996.77136387472535
12,100011,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,200,145,0,55,55,0,0.72499999999999998,148480,898.72400428309356
12,100011,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,155,0,45,31,14,0.77500000000000002,158720,832.76701199067168
12,100011,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,155,0,45,31,14,0.77500000000000002,158720,832.76701199067168
12,100011,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,155,0,45,31,14,0.77500000000000002,158720,832.76701199067168
12,100011,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,155,0,45,31,14,0.77500000000000002,158720,832.76701199067168
13,100012,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
13,100012,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,177,0,23,23,0,0.88500000000000001,181248,536.67743902556913
14,100013,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,163,0,37,37,0,0.81499999999999995,166912,1323.9423759352064
14,100013,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,157,0,43,37,6,0.78500000000000003,160768,1323.9423759352064
