Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,3.5576727448455387,3.0433753468903761e-39,-0.21361072134553616,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,1.6399529686048628,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,2.2775591156213268,9.4737379513584182e-129,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,2.2932624127324868,3.6369902459854645e-292,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,1,2,256781830927.78528,3.5576727448455387,1.1194499225903198e-105,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,0,2,346483690510.33167,1.6399529686048628,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,1,2,228003438045.67664,2.2775591156213268,6.238810993352129e-296,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,1,1,226224890899.86777,2.2932624127324868,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,1,2,256781830927.78528,3.5576727448455387,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,0,2,346483690510.33167,1.6399529686048628,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,1,2,228003438045.67664,2.2775591156213268,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,1,1,226224890899.86777,2.2932624127324868,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,1,2,256781830927.78528,3.5576727448455387,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,0,2,346483690510.33167,1.6399529686048628,0,0,0,0,0
1,100000,Transmit_Power,Power_50W,50,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,2.2775591156213268,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,4.5865248254649735,7.7943072136835067e-10,-0.81581116375603191,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,7.1153454896910775,0.18923640465076769,-1.914064023952345,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,3.2799059372097257,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,4.5551182312426537,3.977762282737619e-10,-0.80217145318990346,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,4.5865248254649735,1.2275681691426369e-15,-0.6382758572120335,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,7.1153454896910775,0.036269521362677672,-1.6908944840999889,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,3.2799059372097257,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,4.5551182312426537,4.4812097906659601e-16,-0.62527343224805521,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,4.5865248254649735,2.2064504998011066e-46,-0.30804971052930241,0,0,0
