Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,N_Worlds,Mean_End_To_End_Packet_Success,Minimum,Maximum,Worlds_At_Least_50pct,Worlds_At_Least_90pct,Worlds_At_Least_99pct,Worlds_At_Least_99_9pct
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,100,0.23916321281125971,0,0.99999996446194994,24,24,21,20
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,100,0.083772680840481881,0,0.99958712342598588,9,5,3,1
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,100,0.16603894891304627,0,1,16,14,11,11
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,100,0.12115239493363367,0,0.99999999979763743,12,11,10,7
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,100,0.21389959869633376,0,0.99996449936432574,21,20,19,14
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,100,0.030659049784310475,0,0.93691014395559535,3,1,0,0
Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,100,0.11946196167753279,0,0.99999999939814188,11,11,9,7
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Direct_Earth_to_Mars,100,0.15452693032699694,0,0.99999999388660399,16,13,11,9
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay0_Mars,100,0.23542569501169422,0,0.99996808213636745,24,22,20,19
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay1_Mars,100,0.067542225543715181,0,0.98984755521784162,7,4,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay2_Mars,100,0.15264357778706614,0,0.99999998684756986,15,13,11,8
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Direct_Earth_to_Mars,100,0.14061588302112016,0,0.99999996992937712,14,11,11,7
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay0_Mars,100,0.23011858998461346,0,0.99988533514008993,24,21,19,13
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay1_Mars,100,0.051011457403149885,0,0.97251534919627336,4,3,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay2_Mars,100,0.13897092974505013,0,0.99999993690130595,14,11,10,7
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,100,0.11888808124864121,0,0.99999969883838258,11,11,8,7
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.21110251761712662,0,0.99917124221307119,21,20,17,1
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,0.027692734432234502,0,0.85876593334098983,3,0,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.11736035858101786,0,0.99999938454194137,11,11,7,7
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,1,Direct_Earth_to_Mars,100,0.08695981859468023,0,0.99994125348342944,9,7,5,3
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,1,Earth_Relay0_Mars,100,0.15505424472069179,0,0.95026966603361274,19,6,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,1,Earth_Relay1_Mars,100,0.00034107566070652018,0,0.027188264643237505,0,0,0,0
