Relay_Count,Trial,Hop_Count,Distance_Per_Hop_m,Transmit_Power_W,Atmosphere_Efficiency,Receiver_Efficiency,Bottleneck_Rate_bps,Weakest_Received_Power_W,Minimum_Photons_Per_Packet,Propagation_Delay_s,Transmission_Delay_s,Processing_Delay_s,Total_Delay_s,Packet_Delivered
1,31,2,2.93477e+07,10.7914,0.870985,0.820417,1.43493e+14,3.678e-06,1638.4,0.195782,1.1418e-10,0.005,0.200782,1
1,32,2,2.93477e+07,11.2433,0.905241,0.802249,1.51941e+14,3.89453e-06,1638.4,0.195782,1.07832e-10,0.005,0.200782,1
1,33,2,2.93477e+07,11.7048,0.946153,0.821845,1.69364e+14,4.34112e-06,1638.4,0.195782,9.67385e-11,0.005,0.200782,1
1,34,2,2.93477e+07,8.17592,0.852715,0.792046,1.02754e+14,2.63378e-06,1638.4,0.195782,1.59449e-10,0.005,0.200782,1
1,35,2,2.93477e+07,9.85287,0.933806,0.805085,1.37837e+14,3.53304e-06,1638.4,0.195782,1.18865e-10,0.005,0.200782,1
1,36,2,2.93477e+07,11.5025,0.875452,0.811187,1.52002e+14,3.89611e-06,1638.4,0.195782,1.07788e-10,0.005,0.200782,1
1,37,2,2.93477e+07,11.7724,0.901011,0.838249,1.65453e+14,4.24089e-06,1638.4,0.195782,9.90249e-11,0.005,0.200782,1
1,38,2,2.93477e+07,10.4135,0.886206,0.786566,1.35075e+14,3.46223e-06,1638.4,0.195782,1.21296e-10,0.005,0.200782,1
1,39,2,2.93477e+07,11.3144,0.940823,0.776431,1.53797e+14,3.94211e-06,1638.4,0.195782,1.0653e-10,0.005,0.200782,1
1,40,2,2.93477e+07,10.0643,0.925258,0.81131,1.40585e+14,3.60346e-06,1638.4,0.195782,1.16542e-10,0.005,0.200782,1
1,41,2,2.93477e+07,8.70789,0.92977,0.752322,1.13344e+14,2.90523e-06,1638.4,0.195782,1.44551e-10,0.005,0.200782,1
1,42,2,2.93477e+07,8.27883,0.863882,0.754408,1.004e+14,2.57346e-06,1638.4,0.195782,1.63187e-10,0.005,0.200782,1
1,43,2,2.93477e+07,10.2068,0.926406,0.835277,1.46969e+14,3.7671e-06,1638.4,0.195782,1.11479e-10,0.005,0.200782,1
1,44,2,2.93477e+07,10.9244,0.947334,0.759502,1.46263e+14,3.74901e-06,1638.4,0.195782,1.12017e-10,0.005,0.200782,1
1,45,2,2.93477e+07,8.274,0.94868,0.79876,1.1667e+14,2.99047e-06,1638.4,0.195782,1.40431e-10,0.005,0.200782,1
1,46,2,2.93477e+07,9.084,0.91892,0.753258,1.17005e+14,2.99907e-06,1638.4,0.195782,1.40028e-10,0.005,0.200782,1
1,47,2,2.93477e+07,11.8668,0.857089,0.758848,1.43622e+14,3.68131e-06,1638.4,0.195782,1.14077e-10,0.005,0.200782,1
